Attraction,Address,Website,Description,Photo URL,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,Class
Canal Park,"Canal Park, Duluth, MN 55802",http://www.canalparkduluth.com/,"Canal Park is a tourist and recreation-oriented district of Duluth, Minnesota, United States. Situated across the Interstate 35 freeway from Downtown Duluth, it is connected by the famous Aerial Lift Bridge to the Park Point sandbar and neighborhood.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Duluth_Drone.jpg/1920px-Duluth_Drone.jpg,46.7835,-92.094691,1,street_center,,Canal Park Dr,,,Duluth,MN,St. Louis County,55802,US,TIGER/Line® dataset from the US Census Bureau,Park
Aerial Lift Bridge,"601 S Lake Ave, Duluth, MN 55802",http://www.goduluthmn.com/best-duluth-attractions/aerial-lift-bridge/,"The Aerial Lift Bridge is a landmark in the port city of Duluth, Minnesota. The span began life in 1905 as the United States' first transporter bridge. In 1929–30, the span was converted to a vertical lift bridge, and continues to operate today.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Aerial_lift_bridge_duluth_mn.jpg/1200px-Aerial_lift_bridge_duluth_mn.jpg,46.779502,-92.093373,1,rooftop,601,S Lake Ave,,,Duluth,MN,St. Louis County,55802,US,St Louis,Park
Spirit Mountain Recreation Area,"9500 Spirit Mountain Pl, Duluth, MN 55810",https://www.spiritmt.com/,Recreational mountain featuring wintertime downhill skiing & a summertime adventure park.,https://www.exploreminnesota.com/sites/default/files/styles/listing_slideshow/public/listing_images/8a92913022306d81105810f1a622bf544171c380.jpg.webp?itok=vBZRxTsb,46.71826,-92.216783,1,rooftop,9500,Spirit Mountain Pl,,,Duluth,MN,St. Louis County,55810,US,St Louis,Park
Glensheen,"3300 London Rd, Duluth, MN 55804",https://glensheen.org/,"Glensheen, the Historic Congdon Estate is a 20,000 square foot mansion in Duluth, Minnesota, United States, operated by the University of Minnesota Duluth as a historic house museum.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Glensheen.JPG/1200px-Glensheen.JPG,46.815177,-92.05175,1,rooftop,3300,London Rd,,,Duluth,MN,St. Louis County,55804,US,St Louis,Spectacle
Great Lakes Aquarium,"353 Harbor Dr, Duluth, MN 55802",https://glaquarium.org/,"The Great Lakes Aquarium opened in 2000 and is located on the Duluth waterfront. A 501 private nonprofit, its mission is to inspire people to explore their connection to Lake Superior and waters of the world.",https://mommybunch.com/wp-content/uploads/2016/07/great-lakes-aquarium-tank.jpg,46.778997,-92.100066,1,rooftop,353,Harbor Dr,,,Duluth,MN,St. Louis County,55802,US,St Louis,Spectacle
Jay Cooke State Park,"780 MN-210, Carlton, MN 55718",https://www.dnr.state.mn.us/state_parks/park.html?id=spk00187#homepage,"Jay Cooke State Park is a state park of Minnesota, United States, protecting the lower reaches of the St. Louis River. The park is located about 10 miles southwest of Duluth and is one of the ten most visited state parks in Minnesota. The western half of the park contains part of a rocky, 13-mile gorge.",https://www.wideopenspaces.com/wp-content/uploads/sites/3/2021/05/Jay-Cooke-State-Park.png?w=1056,46.655142,-92.372686,1,rooftop,780,Highway 210,,,Carlton,MN,Carlton County,55718,US,Carlton,Park
North Shore Scenic Railroad,"506 W Michigan St, Duluth, MN 55802",http://www.northshorescenicrailroad.org/,"Seasonal narrated train tours follow a historic transport corridor for short, long & themed rides.",https://duluthtrains.com/wp-lib/wp-content/uploads/2019/05/2013-07-18-11.51.25.jpg,46.781221,-92.103921,1,rooftop,506,W Michigan St,,,Duluth,MN,St. Louis County,55802,US,St Louis,Spectacle
Karpeles Manuscript Library Museum - Duluth,"902 E 1st St, Duluth, MN 55805",https://www.karpeles.com/,Historical documents & cultural events in the exhibition hall of a 1912 building with a rotunda.,https://www.karpeles.com/wp-content/uploads/2022/12/Image-7.jpg,46.79618,-92.087554,1,rooftop,902,E 1st St,,,Duluth,MN,St. Louis County,55805,US,St Louis,Spectacle
Tweed Museum of Art,"1201 Ordean Ct, Duluth, MN 55812",https://tweed.d.umn.edu/,"Large university art gallery featuring eclectic works, plus educational tours & lecture series.",https://www.exploreminnesota.com/sites/default/files/styles/listing_slideshow/public/listing_images/169ec22f8d53b6c44d1f35ad88655485f8c7fcbe_20.jpg.webp?itok=zsrABOx9,46.818399,-92.084004,1,rooftop,1201,Ordean Ct,,,Duluth,MN,St. Louis County,55812,US,St Louis,Spectacle
Bent Paddle Brewing Co.,"1832 W Michigan St, Duluth, MN 55806",http://www.bentpaddlebrewing.com/,"Craft brewery offering pilsner & black ale among its flagship beers, with tours & a taproom.",https://bentpaddlebrewing.com/wp-content/uploads/2024/02/1832GreenSpace-2-1024x318.jpg,46.768452,-92.12078,1,rooftop,1832,W Michigan St,,,Duluth,MN,St. Louis County,55806,US,St Louis,Drinks
Shanty Bottle Shop,"1231 E 4th St, Duluth, MN 55805",https://www.shantybottleshop.com/,They got beer! ,https://www.perfectduluthday.com/wp-content/uploads/2018/06/DSC_0551-746x496.jpg,46.802102,-92.086875,1,rooftop,1231,E 4th St,,,Duluth,MN,St. Louis County,55805,US,St Louis,Drinks
